title,location,detail,price,agent_name,agent_status,description
Rukost murah sigura2 dekat kampus brawijaya,"Merjosari, Malang",8                                Kamar tidur                                    100 m²                                Bangunan                                     70 m²                                Lahan,Rp1.000.000.000,Endang AJ Property,Rekan Lamudi Pro,"Best seller 4 bulan sold out rukost dekat brawijaya mulai 1 milyar Mau jadi juragan kost. Pasive income ratusan juta rupiah dengan berbagai fasilitas Club house , kolam renang, masjid, area jigging track, play ground, cafe dan resto, jaringan bawah tanah Pastikan aset anda yg bekerja dapatkan income 300juta per tahunnya  Rukost terbesar di malang dan termurah legalitas aman developer terpercaya RUMAH KOST EXEKUTIF Best seller dikelilingi kampus2 ternama di malang  SANGAT STRATEGIS TERLETAK DI KAWASAN BISNIS DIKELILINGI KAMPUS TERNAMA DI KOTA MALANG Tersedia 18BR harga 2,350m 14BR harga 1,750m 12BR harga 1,650m 10 BR harga 1,4m 8BR harga 1,2m 6BR hanya 1 m  Bonus full furnish, tv, ac, cctv, token masing2 kamar  Sistem byr Cash, kpr, inhouse 12bln tanpa bunga  Segera miliki rukost termurah di malang dan jadilah juragan kost Info lanjut hub Endang property"
Dijual Murah Rumah Estetik Dekat Suhat Malang,"Lowokwaru, Malang",2                                Kamar tidur                                    49 m²                                Bangunan                                     84 m²                                Lahan,Rp749.000.000,angga angga,Rekan Lamudi Pro,Akses jalan lebar 9 meter.
Dijual rumah di Blimbing Malang,"Blimbing, Malang",2                                Kamar tidur                                    40 m²                                Bangunan                                     68 m²                                Lahan,Rp525.000.000,Dahlia Indah Kinasih,Rekan Lamudi,Nama Perumahan Pesona Ikan Nila   Luas Tanah 68 m²  Luas Bangunan 40 m²  Kamar tidur 2  Kamar mandi 1  Ruang Tamu  Dapur  Canopi   Pagar besi   PLN token 1300 watt  PDAM ada  SHM ada  IMB ada  PBB lunas  Kelurahan Purwodadi   Kecamatan Blimbing  hadap barat.  akses sepeda/mobil ada  Harga 525 juta
Dijual Rumah Siap Huni Di Ngijo Karangploso Malang,"Karang Ploso, Malang",2                                Kamar tidur                                    84 m²                                Bangunan                                     1 m²                                Lahan,Rp520.000.000,Dahlia Indah Kinasih,Rekan Lamudi,"Dijual Rumah siap huni di GPA - Ngijo - Karangploso  Spesifikasi: Luas tanah : 84 m² Luas bangunan : 84 m² full bangunan Kamar tidur : 2 Kamar mandi: 1 Hadap : Selatan  Row Jalan : Bebas simpangan mobil (8 meter) Fasilitas lainnya : Carport, Teras, Bath up dan water heater, One Gate Sistem Legalitas : SHM , IMB  Harga 520 jt"
KOS STRATEGIS 15KT 15KM DEKAT UMM UNISMA UB,"Lowokwaru, Malang",15                                Kamar tidur                                    200 m²                                Bangunan                                     98 m²                                Lahan,Rp1.200.000.000,Restu .,Rekan Lamudi Pro,"MODERN RUMAH KOS LANDUNGSARI  Investasi Rumah Kost Di lokasi yg sangat Prospektif Produktif - 500 mtr ke Jalan Raya Provinsi (Jl Raya Tlogomas) - Dekat dengan Kampus - Kampus Besar UMM - UNISMA - UB - POLINEMA - Mudah di Jangkau ke Pusat Kota Malang SUHAT  Terkoneksi dengan jaringan SMART HOME MANAGEMENT ISI KOST  Spesifikasi : No A1 Type 82/164 12 kamar tidur 12 kamar mandi dalam Harga 1 M  No A2 Type 77/154 12 Kamar tidur 12 Kamar mandi dalam Harga 950 Juta  No A3 Type 68/136 12 Kamar tidur 12 Kamar mandi dalam PROMO Harga 830 Juta  No A4 Type 123/246 18 Kamar tidur 18 Kamar mandi dalam Harga 1.5 M  No A5 Type 86/172 16 Kamar tidur 16 Kamar mandi dalam Harga 1.3M  No A6 Type 71/142 12 Kamar tidur 12 Kamar mandi dalam Harga 900 Juta  No A7 Type 73/146 12 Kamar tidur 12 Kamar mandi dalam Harga 950 Juta   Luas tanah 98m² Luas bangunan 200m² 15 Kamar tidur 15 Kamar mandi  Harga Normal 1.5 M Harga Promo 1.2 M  Surat SHM LANGSUNG BALIK NAMA  Free Interior di Setiap Kamar Kostnya (Dipan, Meja, Almari Water Heater)  Nilai Estimasi Pendapatan : 1jt - 1.5jt perbulan/perkamar Per Thn ( 108 Jt S/d 192 Jt)"
Rumah Baru Murah Dua Lantai di Dekat Suhat,"Lowokwaru, Malang",3                                Kamar tidur                                    80 m²                                Bangunan                                     72 m²                                Lahan,Rp880.000.000,angga angga,Rekan Lamudi Pro,RUMAH BARU CANTIK SIAP HUNI 5 MENIT KE SOEHAT MALANG Jual Rumah JL IKAN .IKAN .Malang LT 72 LB 80 KT 3 KM 3 Dimensi 6 x 12 Listrik 1300 SHM Hadap Barat.
Dijual Murah Rumah Usaha di Jalan Poros Merjosari Malang,"Merjosari, Malang",3                                Kamar tidur                                    125 m²                                Bangunan                                     150 m²                                Lahan,Rp1.200.000.000,angga angga,Rekan Lamudi Pro,Legalitas SHM Berada Poros Jalan dengan traffic tinggi Cocok untuk usaha..
Dijual Rumah Mewah di Tidar Malang,"Dau, Malang",3                                Kamar tidur                                    180 m²                                Bangunan                                     200 m²                                Lahan,Rp3.900.000.000,Dahlia Indah Kinasih,Rekan Lamudi,"Dijual rumah mewah siap huni di Villa Puncak Tidar   Shm IMB Luas tanah 200 m² Luas bangunan 180 m² 2 lantai 2 kamar tidur 2 km mandi 1 Kamar Tidur ART 1 Kamar Mandi ART 1 gudang Kitchen Carport  Furnished luxury Carpot   Harga 3,9M"
KOS MURAH 0 JALAN DEKAT KAMPUS UMM DAN UIN,"Lowokwaru, Malang",6                                Kamar tidur                                    100 m²                                Bangunan                                     79 m²                                Lahan,Rp840.000.000,Asti Properti Malang,Rekan Lamudi,"Anda Ingin Usaha RUKOS? Penawaran spesial PROMO Akhir tahun Rukos PREMIUM Dekat Kampus UMM, UIN Luas Tanah 79 Luas Bangunan 100 Kamar Tidur 6 Kamar Mandi 6 (dalam) Tiap kamar Memiliki token.Listrik 2200 Watt FREE DESAIN DENAH DALAM FREE SHM, AJB, BBN, PPN.Pembeli hanya BPHTB saja Harga 840 Juta NON FURNISHED Harga 900 Juta DENGAN FURNISHED (Kasur + Lemari + Meja) Pembelian Cash Diskon 50 Juta 3 menit dari UMM 5 menit dari UIN 10 menit ke Universitas Brawijaya Dekat ke arah Batu dan Karangploso Akses jalan Bagus dan Strategis Kwalitas PREMIUM.One GATE SISTEM CCTV Security 24 Jam.Yuk segera cek lokasi Unit Terbatas Hubungi Pemasaran :."
Rumah 2 Lantai Desain Elegan Lokasi Strategis Cocok untuk Keluarga,"Lowokwaru, Malang",4                                Kamar tidur                                    170 m²                                Bangunan                                     128 m²                                Lahan,Rp2.550.000.000,Sylviana Hendrawan,Rekan Lamudi Pro,"FOR SALE Rumah Swemi Furnish lokasi strategis di Simpang Kalpataru. Rumah kondisi bagus, desain elegan, lokasi strategis, cocok untuk hunian keluarga.   Selling points:  Lokasi strategis Semi Furnish  Bonus 2 AC Selangkah ke Universitas Brawijaya, Polinema, ABM, dan Widyagama   Spesifikasi Properti:   Legalitas: SHM  Luas tanah: 128 m2 Luas bangunan: 170 m2  Jumlah Kamar tidur: 4 Jumlah kamar mandi: 4 Sumber air: PDAM   Harga yang ditawarkan: 2,55 Milyar   SH-simkal"
